date,name,session,country,capital,answer,correct
2021-12-30,Anders,1,USA. Arkansas,Little Rock,carston city,0
2021-12-30,Anders,1,Mauritania,Nouakchott,l,0
2021-12-30,Anders,1,USA. Wisconsin,Madison,s,0
2021-12-30,Anders,1,USA. Minnesota,St. Paul,s,0
2021-12-30,Anders,1,Tonga,Nuku’alofa,d,0
2021-12-30,Anders,1,USA. New Mexico,Santa Fe,santa fe,1
2021-12-30,Anders,1,Venezuela,Caracas,s,0
2021-12-30,Anders,1,United States Virgin Islands,Charlotte Amalie,c,0
2021-12-30,Anders,1,Eritrea,Asmara,d,0
2021-12-30,Anders,1,Antigua and Barbuda,St. John's,d,0
2021-12-30,Anders,1,USA. Georgia,Atlanta,s,0
2021-12-30,Anders,2,Madagascar,Antananarivo,antananarivo,1
2021-12-30,Anders,2,Portugal,Lisbon,lisbon,1
2021-12-30,Anders,2,USA. Michigan,Lansing,s,0
2021-12-30,Anders,2,Bangladesh,Dhaka,a,0
2021-12-30,Anders,2,Cameroon,Yaounde,d,0
2021-12-30,Anders,2,South Sudan,Juba,s,0
2021-12-30,Anders,2,Republic of the Congo,Brazzaville,kinshasa,0
2021-12-30,Anders,2,Mozambique,Maputo,s,0
2021-12-30,Anders,2,Cyprus,Nicosia,nicosia,1
2021-12-30,Anders,2,Comoros,Moroni,c,0
2021-12-30,Anders,2,Guam,Hagatna,d,0
2021-12-30,Anders,2,Spain,Madrid,madrid,1
2021-12-30,Anders,2,Dominican Republic,Santo Domingo,dominica,0
2021-12-30,Anders,2,Bhutan,Thimphu,propan,0
2021-12-30,Anders,3,Pitcairn Islands,Adamstown,fuck,0
2021-12-30,Anders,3,USA. Tennessee,Nashville,jackson,0
2021-12-30,Anders,3,Oman,Muscat,yeman,0
2021-12-30,Anders,3,Libya,Tripoli,tripoli,1
2021-12-30,Anders,3,USA. Oklahoma,Oklahoma City,tulsa,0
2021-12-30,Anders,3,Togo,Lome,taga,0
2021-12-30,Anders,3,Peru,Lima,lima,1
2021-12-30,Anders,3,USA. Montana,Helena,helena,1
2021-12-30,Anders,3,Somalia,Mogadishu,mogadishu,1
2021-12-30,Anders,3,Belarus,Minsk,minsk,1
2021-12-30,Anders,3,USA. Georgia,Atlanta,boobs,0
